run_accession	sample_title
ERR9452447	stool sample AD
ERR9452450	stool sample Control
ERR9452454	stool sample Control
ERR9452456	stool sample Control
ERR9452457	stool sample Control
ERR9452458	stool sample Control
ERR9452459	stool sample Control
ERR9452462	stool sample AD
ERR9452465	stool sample Control
ERR9452467	stool sample Control
ERR9452468	stool sample Control
ERR9452469	stool sample Control
ERR9452473	stool sample AD
ERR9452477	stool sample AD
ERR9452482	stool sample AD
ERR9452488	stool sample Control
ERR9452489	stool sample AD
ERR9452490	stool sample AD
ERR9452491	stool sample AD
ERR9452448	stool sample Control
ERR9452451	stool sample Control
ERR9452455	stool sample AD
ERR9452460	stool sample AD
ERR9452464	stool sample Control
ERR9452470	stool sample Control
ERR9452471	stool sample Control
ERR9452472	stool sample AD
ERR9452474	stool sample AD
ERR9452475	stool sample AD
ERR9452478	stool sample AD
ERR9452479	stool sample AD
ERR9452486	stool sample AD
ERR9452445	stool sample Control
ERR9452446	stool sample Control
ERR9452449	stool sample AD
ERR9452452	stool sample AD
ERR9452453	stool sample Control
ERR9452461	stool sample AD
ERR9452463	stool sample Control
ERR9452466	stool sample Control
ERR9452476	stool sample Control
ERR9452480	stool sample AD
ERR9452481	stool sample Control
ERR9452483	stool sample AD
ERR9452484	stool sample Control
ERR9452485	stool sample AD
ERR9452487	stool sample AD
ERR9452492	stool sample AD
ERR9452493	stool sample Control
ERR9452494	stool sample AD
